anpr_backend  | INFO:     Started server process [1]
anpr_backend  | INFO:     Waiting for application startup.
anpr_backend  | 2026-06-06 00:52:01,339 [INFO] main: 🚀 ANPR Parking Gate — ITB Jatinangor v1.0.0 starting...
anpr_backend  | 2026-06-06 00:52:01,386 [INFO] main: ✅ Redis connection OK.
anpr_backend  | 2026-06-06 00:52:01,804 [INFO] main: ✅ PostgreSQL tables initialized.
anpr_backend  | INFO:     Application startup complete.
anpr_backend  | INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
anpr_backend  | 2026-06-06 00:52:01,875 [INFO] mqtt_manager: ✅ Connected to MQTT Broker at mqtt:1883
anpr_backend  | 2026-06-06 00:52:01,920 [INFO] mqtt_manager: Gate G1 is now ONLINE (via MQTT)
anpr_backend  | INFO:     172.18.0.1:55474 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:55474 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     ('172.18.0.1', 39296) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA2NzY4MDAsImV4cCI6MTc4MDcwNTYwMCwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.mM5_sbbKd-RzNd2FvqxSdXf3Lvii_UPgtzTEwZ1Q0Dw" 403
anpr_backend  | INFO:     connection rejected (403 Forbidden)
anpr_backend  | INFO:     connection closed
anpr_backend  | INFO:     ('172.18.0.1', 51480) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA2NzY4MDAsImV4cCI6MTc4MDcwNTYwMCwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.mM5_sbbKd-RzNd2FvqxSdXf3Lvii_UPgtzTEwZ1Q0Dw" 403
anpr_backend  | INFO:     connection rejected (403 Forbidden)
anpr_backend  | INFO:     connection closed
anpr_backend  | INFO:     ('172.18.0.1', 58008) - "WebSocket /ws/gate-events?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJkYXNoYm9hcmRfdXNlciIsImlzcyI6Iml0Yi1wYXJraW5nLWJhY2tlbmQiLCJpYXQiOjE3ODA2NzY4MDAsImV4cCI6MTc4MDcwNTYwMCwibmltIjoiMTM1MjUwMDEiLCJuYW1lIjoiTWljaGFlbCBBYmR1aCJ9.mM5_sbbKd-RzNd2FvqxSdXf3Lvii_UPgtzTEwZ1Q0Dw" 403
anpr_backend  | INFO:     connection rejected (403 Forbidden)
anpr_backend  | INFO:     connection closed
anpr_backend  | INFO:     172.18.0.1:58462 - "GET /api/v1/gate/status HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:58472 - "OPTIONS /api/v1/vehicles/sessions?nim=2021184750 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:58478 - "OPTIONS /api/v1/vehicles/?nim=13525001 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:58490 - "OPTIONS /api/v1/gate/history?limit=200 HTTP/1.1" 200 OK
anpr_backend  | INFO:     172.18.0.1:58472 - "GET /api/v1/gate/history?limit=200 HTTP/1.1" 401 Unauthorized
anpr_backend  | INFO:     172.18.0.1:58478 - "GET /api/v1/vehicles/?nim=13525001 HTTP/1.1" 401 Unauthorized
anpr_backend  | INFO:     172.18.0.1:58490 - "GET /api/v1/vehicles/sessions?nim=2021184750 HTTP/1.1" 401 Unauthorized
anpr_backend  | INFO:     172.18.0.1:58478 - "GET /api/v1/gate/history?limit=200 HTTP/1.1" 401 Unauthorized
anpr_backend  | INFO:     172.18.0.1:58472 - "GET /api/v1/vehicles/?nim=13525001 HTTP/1.1" 401 Unauthorized
